engine,article,alias
flat-eight,https://en.wikipedia.org/wiki/Flat-eight_engine,F-8
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,horizontally opposed-6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,horizontally opposed 6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,flat-6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,flat six
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,flat 6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,F-6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,F6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,O6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,O-6
flat-six engine,https://en.wikipedia.org/wiki/Flat-six_engine,boxer
,https://en.wikipedia.org/wiki/Swing-piston_engine,
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,straight 9
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,inline-nine
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,inline 9
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,I9
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,I-9
straight-nine,https://en.wikipedia.org/wiki/Straight-nine_engine,L9
V18,https://en.wikipedia.org/wiki/V18_engine,V18 engine
V18,https://en.wikipedia.org/wiki/V18_engine,V-18
pistonless rotary engine,https://en.wikipedia.org/wiki/Pistonless_rotary_engine,rotary pistons
pistonless rotary engine,https://en.wikipedia.org/wiki/Pistonless_rotary_engine,rotary combustion engine
,https://en.wikipedia.org/wiki/Multi-cylinder_engine,
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,O16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,O-16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,horizontally opposed 16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,flat-16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,flat sixteen
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,flat 16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,F16
flat-sixteen,https://en.wikipedia.org/wiki/Flat-sixteen_engine,F-16
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,O12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,O-12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,horizontally opposed 12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,flat-12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,flat twelve
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,flat 12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,F-12
flat-twelve,https://en.wikipedia.org/wiki/Flat-12_engine,F12
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,O-10
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,horizontally opposed 10
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,flat ten
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,flat 10
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,F-10
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,O10
flat-ten,https://en.wikipedia.org/wiki/Flat-ten_engine,F10
V20,https://en.wikipedia.org/wiki/V20_engine,V20 engine
V20,https://en.wikipedia.org/wiki/V20_engine,V-20
,https://en.wikipedia.org/wiki/Revolving_cylinder_engine,
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,straight-12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,straight 12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,inline-twelve
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,inline-12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,inline 12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,I-12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,L12
straight-twelve,https://en.wikipedia.org/wiki/Straight-12_engine,I12
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,straight 7
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,inline-seven
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,inline 7
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,I-7
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,I7
straight-seven,https://en.wikipedia.org/wiki/Straight-seven_engine,L7
V14,https://en.wikipedia.org/wiki/V14_engine,V14 engine
V14,https://en.wikipedia.org/wiki/V14_engine,V-14
V3,https://en.wikipedia.org/wiki/V3_engine,V3 engine
V3,https://en.wikipedia.org/wiki/V3_engine,V-3
,https://en.wikipedia.org/wiki/X24_engine,
V6,https://en.wikipedia.org/wiki/V6_engine,V6 engine
V6,https://en.wikipedia.org/wiki/V6_engine,Six-cylinder engines
inline engine,https://en.wikipedia.org/wiki/Inline_engine_(aeronautics),reciprocating engine
,https://en.wikipedia.org/wiki/X_engine,
H16,,H16 engine
H16,,H-block 16
H16,,H-16
H16,,H Block 16
H24,,H24 engine
H24,,H-Block 24
H24,,H Block 24
H24,,H-24
,,
square-four,,U-4
square-four,,square four
square-four,,square 4
,,
5-cylinder radial,,R-5
5-cylinder radial,,R5
7-cylinder radial,,radial 7
7-cylinder radial,,R-7
7-cylinder radial,,R7
9-cylinder radial,,radial 9
9-cylinder radial,,R-9
9-cylinder radial,,R9
11-cylinder radial,,radial 11
11-cylinder radial,,R11
11-cylinder radial,,R-11
14-cylinder radial,,radial 14
14-cylinder radial,,R14
14-cylinder radial,,R-14
18-cylinder radial,,R-18
18-cylinder radial,,R18
18-cylinder radial,,radial 18
7-cylinder rotary,,rotary 7
9-cylinder rotary,,rotary 9
double-bank-twelve,,U12
double-bank-twelve,,twin-bank-12
double-bank-twelve,,twin bank 12
double-bank-twelve,,double-bank-12
double-bank-twelve,,double bank 12
